plant ID;population;fertilisation;nLeaves1;LongestLeaf1_Cm;Glucosinolates1_[µmol/ g dry weight];HsGlucosinolates1;nPathogenSpots1;nHerbivores1;HsHerbivores1;LeafHerbivory1_Cons_[mm_];nPredators1;status
JE_06;07JE;low;28;28,5;40,71;1,189;25;25;2,065;11;10;invasive
JE_07;07JE;high;33;27,6;56,985;1,19;35;32;1,792;19;12;invasive
JE_08;07JE;low;18;20,4;41,12;0,356;9;25;1,759;10;5;invasive
JE_09;07JE;high;19;26,5;27,945;1,119;14;29;1,929;27;12;invasive
JE_10;07JE;low;19;22,8;70,231;1,032;44;19;1,512;14;3;invasive
JE_11;07JE;high;21;30,7;34,987;0,839;61;30;1,72;25;8;invasive
JE_12;07JE;low;14;20,6;53,375;1,308;9;22;1,199;37;5;invasive
WU_01;08WU;high;22;25,1;80,86;1,144;17;10;1,973;2;9;invasive
WU_02;08WU;low;22;17,1;55,377;1,074;24;18;1,351;155;3;invasive
WU_03;08WU;high;24;27,3;65,003;1,384;13;24;2,037;122;17;invasive
WU_04;08WU;low;18;30,8;67,725;0,998;20;38;2,273;58;7;invasive
WU_05;08WU;high;23;29,5;49,213;1,235;3;36;1,89;23;18;invasive
WU_06;08WU;low;19;31;23,658;1,435;21;103;1,097;167;24;invasive
WU_07;08WU;high;26;30,1;35,92;1,263;20;51;1,548;29;17;invasive
WU_08;08WU;low;28;36,2;47,269;1,392;10;39;1,617;113;15;invasive
WU_09;08WU;high;23;30;42,977;1,328;15;64;1,708;48;16;invasive
WU_10;08WU;low;22;32,2;26,851;1,407;25;45;1,555;37;17;invasive
WU_11;08WU;high;25;31,8;5,084;0,803;39;60;1,735;23;11;invasive
WU_12;08WU;low;22;31,2;80,658;1,2;36;49;1,736;103;10;invasive
DR_01;09DR;high;20;28,3;44,477;0,759;6;32;1,738;161;5;naturalised
DR_02;09DR;low;19;27,5;31,248;0,836;39;32;2,028;20;9;naturalised
DR_03;09DR;high;22;23,5;34,199;0,521;18;30;1,865;19;11;naturalised
DR_04;09DR;low;15;24,6;33,863;0,378;7;40;1,359;25;11;naturalised
DR_05;09DR;high;20;26,3;23,347;1,182;65;33;1,881;10;5;naturalised
DR_06;09DR;low;22;26;25,001;1,16;29;48;1,558;99;8;naturalised
DR_07;09DR;high;26;33,2;16,545;1,13;13;23;1,81;134;22;naturalised
DR_08;09DR;low;21;23,5;31,107;1,133;7;26;1,797;34;6;naturalised
DR_09;09DR;high;24;22,3;11,505;0,731;10;25;1,822;25;13;naturalised
DR_10;09DR;low;21;32,1;65,186;1,203;8;28;1,718;51;10;naturalised
DR_11;09DR;high;23;27;43,174;0,811;9;42;1,467;10;10;naturalised
DR_12;09DR;low;25;31,5;42,23;0,689;46;36;1,61;20;10;naturalised
DI_01;10DI;high;34;23,4;73,195;1,063;33;36;1,561;20;12;naturalised
DI_02;10DI;low;16;22,3;49,939;0,826;3;38;0,82;8;17;naturalised
DI_03;10DI;high;18;28;69,832;1,12;17;31;1,638;16;11;naturalised
DI_04;10DI;low;13;16;34,236;0,791;11;13;1,304;10;14;naturalised
DI_05;10DI;high;19;30,6;44,552;1,081;9;38;1,433;34;23;naturalised
DI_06;10DI;low;18;27,6;45,991;1,05;11;78;1,442;19;25;naturalised
DI_07;10DI;high;24;28,7;34,188;1,124;15;56;1,486;5;34;naturalised
DI_08;10DI;low;22;26,1;32,68;0,759;23;35;1,084;35;13;naturalised
DI_09;10DI;high;30;30,7;33,538;0,864;13;72;1,28;52;16;naturalised
DI_10;10DI;low;14;27,7;35,059;0,993;34;62;1,455;0;25;naturalised
DI_11;10DI;high;30;34,3;45,974;1,014;15;60;1,488;44;14;naturalised
DI_12;10DI;low;22;27;45,311;1,009;13;38;1,155;56;33;naturalised
GO_01;11GO;high;19;30,1;50,349;1,071;41;28;1,968;221;4;naturalised
GO_02;11GO;low;12;12,4;37,666;0,846;5;7;0,956;2;10;naturalised
GO_03;11GO;high;21;23,2;22,606;1,038;27;19;2,16;100;7;naturalised
GO_04;11GO;low;21;30,4;34,748;0,969;32;34;2,354;258;20;naturalised
GO_05;11GO;high;22;25,6;40,77;1,245;15;44;1,464;210;16;naturalised
GO_06;11GO;low;25;29;48,84;1,223;44;49;1,652;239;17;naturalised
GO_07;11GO;high;21;27,8;20,408;1,114;16;47;1,179;19;14;naturalised
GO_08;11GO;low;28;34,1;27,536;1,211;28;55;1,333;160;8;naturalised
GO_09;11GO;high;28;25,4;23,484;1,249;26;29;1,789;15;1;naturalised
GO_10;11GO;low;19;23,2;76,81;1,168;35;21;1,044;42;17;naturalised
GO_11;11GO;high;26;31;63,335;1,173;28;56;1,365;21;6;naturalised
GO_12;11GO;low;14;23,5;57,188;1,136;16;46;1,49;37;3;naturalised
